,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
58,2007-12-31,2008-02-21,0.89,0.83,0.06,7.2289
59,2007-09-30,2007-11-01,0.54,0.76,-0.22,-28.9474
60,2007-06-30,2007-07-26,0.83,0.84,-0.01,-1.1905
61,2007-03-31,2007-06-08,0.31,0.42,-0.11,-26.1905
62,2006-12-31,2007-02-21,0.8,0.76,0.04,5.2632
63,2006-09-30,2006-10-25,0.84,0.86,-0.02,-2.3256
64,2006-06-30,2006-07-26,0.77,0.67,0.1,14.9254
65,2006-03-31,2006-04-26,0.34,0.26,0.08,30.7692
66,2005-12-31,2006-02-15,0.7,0.69,0.01,1.4493
67,2005-09-30,2005-10-26,0.77,0.7,0.07,10
68,2005-06-30,2005-07-27,0.9,0.78,0.12,15.3846
69,2005-03-31,2005-04-27,0.21,0.26,-0.05,-19.2308
70,2004-12-31,2005-02-16,0.26,0.33,-0.07,-21.2121
71,2004-09-30,2004-10-27,0.34,0.38,-0.04,-10.5263
72,2004-06-30,2004-07-28,0.3,0.24,0.06,25
73,2004-03-31,2004-04-28,-0.0201,0.06,-0.0801,-133.5
74,2003-12-31,2004-02-04,-0.13,-0.17,0.04,23.5294
75,2003-09-30,2003-10-29,-0.06,None,None,None
76,2003-06-30,2003-07-30,-0.26,-0.11,-0.15,-136.3636
77,2003-03-31,2003-04-23,0.03,-0.04,0.07,175
78,2002-12-31,2003-01-29,0.06,0.05,0.01,20
79,2002-09-30,2002-10-23,0.04,0.06,-0.02,-33.3333
80,2002-06-30,2002-07-24,0.01,-0.04,0.05,125
81,2002-03-31,2002-04-24,-0.16,-0.06,-0.1,-166.6667
82,2001-12-31,2002-01-30,-0.07,-0.1,0.03,30
83,2001-09-30,2001-10-24,-0.02,-0.06,0.04,66.6667
84,2001-06-30,2001-07-25,-0.19,0.01,-0.2,-2000
85,2001-03-31,2001-04-25,-0.12,-0.04,-0.08,-200
86,2000-12-31,2001-01-31,0.0532,-0.02,0.0732,366
87,2000-09-30,2000-10-25,0.08,0.07,0.01,14.2857
88,2000-06-30,2000-07-26,0.09,0.08,0.01,12.5
89,2000-03-31,2000-04-19,-0.04,-0.03,-0.01,-33.3333
90,1999-12-31,2000-01-20,0.06,0.01,0.05,500
91,1999-09-30,1999-10-20,-0.12,0.09,-0.21,-233.3333
92,1999-06-30,1999-07-21,0.09,0.11,-0.02,-18.1818
93,1999-03-31,1999-04-21,0.03,-0.01,0.04,400
94,1998-12-31,1999-01-21,0.22,0.17,0.05,29.4118
95,1998-09-30,1998-10-21,0.22,0.21,0.01,4.7619
96,1998-06-30,1998-07-22,0.19,0.18,0.01,5.5556
97,1998-03-31,1998-04-20,0.01,0.02,-0.01,-50
98,1997-12-31,1998-01-23,0.19,0.19,0,0
99,1997-09-30,1997-10-23,0.17,0.19,-0.02,-10.5263
100,1997-06-30,1997-07-22,0.11,0.17,-0.06,-35.2941
101,1997-03-31,1997-04-17,0.03,0.03,0,0
102,1996-12-31,1997-01-21,0.2,0.2,0,0
103,1996-09-30,1996-10-22,0.23,0.21,0.02,9.5238
104,1996-06-30,1996-07-18,0.18,0.17,0.01,5.8824
105,1996-03-31,1996-04-17,0.04,0.05,-0.01,-20
